"Designator,""Footprint"",""Mid X"",""Mid Y"",""Ref X"",""Ref Y"",""Pad X"",""Pad Y"",""Layer"",""Rotation"",""Comment"""
"J1580,""PAD_6"",""143mm"",""127.713mm"",""143mm"",""127.713mm"",""143mm"",""127.713mm"",""T"",""90.00"",""PIN"""
"J1579,""PAD_6"",""143mm"",""124.249mm"",""143mm"",""124.249mm"",""143mm"",""124.249mm"",""T"",""90.00"",""PIN"""
"J1578,""PAD_6"",""143mm"",""120.785mm"",""143mm"",""120.785mm"",""143mm"",""120.785mm"",""T"",""90.00"",""PIN"""
"J1577,""PAD_6"",""143mm"",""117.321mm"",""143mm"",""117.321mm"",""143mm"",""117.321mm"",""T"",""90.00"",""PIN"""
"J1574,""PAD_6"",""143mm"",""82.679mm"",""143mm"",""82.679mm"",""143mm"",""82.679mm"",""T"",""90.00"",""PIN"""
"J1572,""PAD_6"",""142mm"",""77.483mm"",""142mm"",""77.483mm"",""142mm"",""77.483mm"",""T"",""90.00"",""PIN"""
"J1571,""PAD_6"",""143mm"",""75.751mm"",""143mm"",""75.751mm"",""143mm"",""75.751mm"",""T"",""90.00"",""PIN"""
"J1570,""PAD_6"",""142mm"",""70.555mm"",""142mm"",""70.555mm"",""142mm"",""70.555mm"",""T"",""90.00"",""PIN"""
"J1569,""PAD_6"",""142mm"",""67.091mm"",""142mm"",""67.091mm"",""142mm"",""67.091mm"",""T"",""90.00"",""PIN"""
"J1568,""PAD_6"",""142mm"",""60.163mm"",""142mm"",""60.163mm"",""142mm"",""60.163mm"",""T"",""90.00"",""PIN"""
"J1567,""PAD_6"",""143mm"",""58.431mm"",""143mm"",""58.431mm"",""143mm"",""58.431mm"",""T"",""90.00"",""PIN"""
"J1566,""PAD_6"",""142mm"",""56.699mm"",""142mm"",""56.699mm"",""142mm"",""56.699mm"",""T"",""90.00"",""PIN"""
